id,created_at,text
535790650063867905,2014-11-21 13:43:40,"Ditelo in faccia al vostro parroco. Ditegli che ve l'ha detto Papa Francesco: basta chiedere soldi per battesimi, messe e benedizioni!"
531823291338870784,2014-11-10 14:58:48,Prego perché l'assemblea generale della #CEI discuta le modalità per accogliere le denunce e risarcire le vittime di abusi sui minori.
307060333334364161,2013-02-28 09:31:03,@alessandrocres7 non pozzo. Defo portarlo a monte Fato.
292227721608716288,2013-01-18 11:11:33,Fancelo non ezzere mai ztato così tifertente!! http://t.co/NTK8fJJj
282046903628201984,2012-12-21 08:56:37,Ke centili... zono fenuti a trofare me per Zanto Natale! http://t.co/WKlwzHvu
280612514985803776,2012-12-17 09:56:52,Crante cosa ezzere Papi. Per Natale ricefuta copia autocrafata! http://t.co/mIEUFGqI
280611175069261824,2012-12-17 09:51:32,@andreabonelli4 * qual è
280307531249758208,2012-12-16 13:44:57,@IhavemanyStyles crazie! Io studia tanto per qvesto...
280306837012758528,2012-12-16 13:42:12,@sezziharry *ai
278869142986182657,2012-12-12 14:29:19,Non timentikiamo proprio in qveste festifità le ratici ta cui ziamo nati! http://t.co/mfVI6RN9
278809243107344384,2012-12-12 10:31:18,"@roddick89 @lddio percke, zi tu zpegni luce sfanisci nel nulla?"
278422114447540225,2012-12-11 08:52:59,@federicasmusic tu ti sta confontento con Capippo. Io ezzero qvello bianco: Papa!
278067036897280000,2012-12-10 09:22:02,@iPcVerona Io afere crante rizpetto per Maya http://t.co/swkO7AFP
277478175938867200,2012-12-08 18:22:07,@PepponTwitt nein. Io creto in Judas Priest.
277376695139454976,2012-12-08 11:38:52,@CosimoPoli89 ciusto! http://t.co/8FPer7tt
277056773121245184,2012-12-07 14:27:37,Ogni buon Cristiano fa Prezepe e non Alpero di Natale! http://t.co/emZ3ul08
277054240965423105,2012-12-07 14:17:33,Il prossimo congilio Faticano zi terrà a Codroipo!
277034816099196928,2012-12-07 13:00:21,"@zip_1974 in Luca 8,1000"
277033627219542017,2012-12-07 12:55:38,@SimoneKollHerc qvesto ezzere vizone http://t.co/qF8J2WI7 e qvesto ezzere http://t.co/rWMcaC2f Conosci ceature ti @Iddio
275738335908098048,2012-12-03 23:08:36,@francesca_italy @francesca_italy morto un Papa ze ne fa un altro!
275717922276667392,2012-12-03 21:47:29,@luisilabisch ja
275717786481868801,2012-12-03 21:46:57,@ChiaraGatta1 nein
275716434477322240,2012-12-03 21:41:35,@haroldsears 'amen'
275716033669627904,2012-12-03 21:39:59,@KRISTIANINH0 Jesus non afefa tvitter ma un zacco di follover!
275715684544176129,2012-12-03 21:38:36,@MiiCHi_T zi tu zei feramente fedele non può afere qvesti dubbi!
275715182171410432,2012-12-03 21:36:36,@PhantomiR io zcrifo zempre in italiano!
275637617616367616,2012-12-03 16:28:23,@kaspo ki lo tice sa ti esserlo!
275616363714859008,2012-12-03 15:03:56,. @padreGeorg
275609114112049152,2012-12-03 14:35:08,@SilviaLiberati3 @Alfio_Marchini tvitterò qvando ne afrò foglia!
275603082136657920,2012-12-03 14:11:09,@invisibileuomo qvesto è mio unico accento.
275597981506494466,2012-12-03 13:50:53,@Sandrosen1 @johnnypalomba Jesus Juan cioisce zolo per gol de International!
275595640170491904,2012-12-03 13:41:35,@lddio non è fero! Zarò zempre un tuo fetele zerfitore.
